threshold,TP,FP,FN,TN,precision,recall,flagged
3,30,42619,238,157111,0.0007034162582944501,0.11194029850746269,42649
4,26,35657,242,164073,0.0007286382871395342,0.09701492537313433,35683
5,1,627,267,199103,0.0015923566878980893,0.0037313432835820895,628
6,1,590,267,199140,0.001692047377326565,0.0037313432835820895,591
